# geo_3.0_sim_0 geo_3.0_sim_1 geo_3.0_sim_2 geo_3.0_sim_3 geo_3.0_sim_4 geo_3.0_sim_5 geo_3.0_sim_6 geo_3.0_sim_7 geo_3.0_sim_8 geo_3.0_sim_9 geo_3.0_sim_10 geo_3.0_sim_11 geo_3.0_sim_12 geo_3.0_sim_13 geo_3.0_sim_14 geo_3.0_sim_15 geo_3.0_sim_16 geo_3.0_sim_17 geo_3.0_sim_18 geo_3.0_sim_19 geo_3.0_sim_20 geo_3.0_sim_21 geo_3.0_sim_22 geo_3.0_sim_23 geo_3.0_sim_24
-2.104717951999999968e+03 -2.159880161999999928e+03 -2.165947097000000213e+03 -2.072845854000000145e+03 -2.142830843000000186e+03 -2.074444613000000118e+03 -2.065762142000000040e+03 -2.169051205000000209e+03 -2.166440261000000191e+03 -2.157681316000000152e+03 -1.959078531000000112e+03 -2.136211225000000013e+03 -2.136132098999999926e+03 -2.112813334999999825e+03 -2.096630384000000049e+03 -1.974147787000000108e+03 -2.198657510999999886e+03 -2.108461314000000129e+03 -2.160961374999999862e+03 -2.052388343999999961e+03 -2.210330886000000191e+03 -2.158663117000000057e+03 -2.090864744999999857e+03 -2.126587876000000051e+03 -2.027085015000000112e+03
6.652090000000000281e+00 7.198830000000000062e+00 9.898490000000000677e+00 8.040480000000000516e+00 7.929979999999999585e+00 9.325179999999999580e+00 9.600799999999999557e+00 8.222250000000000725e+00 8.036250000000000782e+00 7.985500000000000043e+00 1.136458999999999975e+01 6.824440000000000062e+00 9.829330000000000567e+00 8.765859999999999985e+00 9.564790000000000347e+00 8.474809999999999732e+00 9.668409999999999727e+00 8.496380000000000265e+00 8.688750000000000639e+00 8.107689999999999841e+00 7.538529999999999731e+00 6.642369999999999663e+00 6.634100000000000108e+00 7.592279999999999696e+00 7.067689999999999806e+00
1.110479999999999912e+00 9.614000000000000323e-01 1.050400000000000000e+00 1.291919999999999957e+00 1.182530000000000081e+00 8.709500000000000020e-01 1.105089999999999906e+00 9.654599999999999849e-01 8.033000000000000140e-01 1.007500000000000062e+00 1.180879999999999930e+00 9.903499999999999526e-01 1.022199999999999998e+00 7.862999999999999989e-01 1.162819999999999965e+00 7.842000000000000082e-01 9.625399999999999512e-01 1.083700000000000108e+00 1.086759999999999948e+00 9.938299999999999912e-01 1.104179999999999939e+00 1.089890000000000025e+00 8.053200000000000358e-01 1.277970000000000050e+00 1.072640000000000038e+00
8.835000000000000839e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.983999999999999694e-03 3.999999999999999819e-06 9.041999999999999690e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.332000000000000068e-03 1.068000000000000026e-02 3.999999999999999819e-06 3.999999999999999819e-06 8.704999999999999197e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.787700000000000053e-02 6.276000000000000328e-03 1.543699999999999933e-02 3.999999999999999819e-06 9.452999999999999597e-03 3.999999999999999819e-06
1.908169999999999866e-01 2.943319999999999825e-01 2.396349999999999869e-01 1.608350000000000057e-01 2.037700000000000067e-01 1.985300000000000120e-01 2.009189999999999865e-01 2.554779999999999829e-01 2.811910000000000243e-01 2.260770000000000002e-01 2.611820000000000253e-01 1.853640000000000010e-01 1.801109999999999933e-01 2.561749999999999861e-01 2.005790000000000073e-01 2.519620000000000193e-01 2.447529999999999983e-01 2.714469999999999938e-01 2.174129999999999951e-01 2.501669999999999727e-01 3.011599999999999833e-01 2.684289999999999732e-01 2.538690000000000113e-01 2.662610000000000254e-01 1.912929999999999908e-01
2.067400000000000140e-02 3.999999999999999819e-06 7.041999999999999649e-03 3.578000000000000017e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.821899999999999908e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.316799999999999915e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.262399999999999980e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.479999999999999670e-03 3.999999999999999819e-06 9.853999999999999912e-03
2.031189999999999940e-01 1.613660000000000094e-01 2.418480000000000074e-01 2.202800000000000036e-01 1.917719999999999980e-01 2.064549999999999996e-01 1.552769999999999984e-01 2.430350000000000010e-01 2.457729999999999915e-01 2.525189999999999935e-01 1.240430000000000005e-01 1.893579999999999985e-01 1.910799999999999998e-01 2.094840000000000035e-01 2.419759999999999966e-01 1.966360000000000052e-01 2.171029999999999904e-01 2.320540000000000103e-01 2.418889999999999929e-01 1.745849999999999902e-01 1.981819999999999971e-01 2.177290000000000059e-01 2.192300000000000082e-01 1.999509999999999899e-01 1.421330000000000093e-01
1.570219999999999949e-01 1.563380000000000047e-01 1.915139999999999898e-01 1.883269999999999944e-01 1.483589999999999909e-01 1.569290000000000129e-01 2.402539999999999953e-01 2.217919999999999892e-01 2.031669999999999865e-01 2.159339999999999871e-01 1.901029999999999942e-01 1.666870000000000018e-01 1.879270000000000107e-01 1.735250000000000126e-01 1.873430000000000095e-01 1.321100000000000052e-01 2.171490000000000087e-01 1.687150000000000039e-01 1.444370000000000098e-01 1.143399999999999972e-01 1.296889999999999987e-01 1.844349999999999878e-01 1.121179999999999954e-01 2.045520000000000116e-01 1.279929999999999957e-01
1.054100000000000002e-02 4.121299999999999963e-02 2.691699999999999995e-02 1.499600000000000065e-02 6.947399999999999409e-02 8.500299999999999523e-02 2.400100000000000150e-02 6.906299999999999939e-02 1.652899999999999855e-02 5.761399999999999855e-02 4.380300000000000166e-02 9.218400000000000205e-02 2.812500000000000069e-02 4.747900000000000037e-02 2.999399999999999983e-02 5.314399999999999680e-02 4.590400000000000036e-02 3.270100000000000090e-02 4.180999999999999994e-02 3.257700000000000179e-02 3.175700000000000051e-02 5.423800000000000149e-02 4.926799999999999929e-02 4.211600000000000066e-02 4.221199999999999952e-02
4.865000000000000401e-03 3.613199999999999745e-02 4.557800000000000046e-02 2.717899999999999830e-02 2.023499999999999951e-02 3.656199999999999728e-02 4.033799999999999886e-02 1.166000000000000023e-02 1.805400000000000060e-02 3.221000000000000252e-02 3.629500000000000087e-02 3.116800000000000126e-02 4.667600000000000221e-02 1.688100000000000017e-02 5.114699999999999802e-02 3.564900000000000013e-02 5.371000000000000080e-02 5.218400000000000122e-02 1.737999999999999962e-03 2.903000000000000025e-02 4.750900000000000262e-02 7.718700000000000561e-02 1.901800000000000018e-02 3.027200000000000030e-02 1.826399999999999899e-02
