# geo_3.0_sim_75 geo_3.0_sim_76 geo_3.0_sim_77 geo_3.0_sim_78 geo_3.0_sim_79 geo_3.0_sim_80 geo_3.0_sim_81 geo_3.0_sim_82 geo_3.0_sim_83 geo_3.0_sim_84 geo_3.0_sim_85 geo_3.0_sim_86 geo_3.0_sim_87 geo_3.0_sim_88 geo_3.0_sim_89 geo_3.0_sim_90 geo_3.0_sim_91 geo_3.0_sim_92 geo_3.0_sim_93 geo_3.0_sim_94 geo_3.0_sim_95 geo_3.0_sim_96 geo_3.0_sim_97 geo_3.0_sim_98 geo_3.0_sim_99
-1.912009301000000050e+03 -1.945164659000000029e+03 -1.986689331000000038e+03 -1.990144941000000017e+03 -1.910293012000000090e+03 -2.198966507000000092e+03 -1.891960366000000022e+03 -1.978030651000000034e+03 -2.028345581999999922e+03 -2.025094624000000067e+03 -2.030989084000000048e+03 -2.040546622000000070e+03 -1.982977110000000039e+03 -1.997386686999999938e+03 -1.920922184999999899e+03 -1.932713635999999951e+03 -2.046211356000000023e+03 -1.993275996999999961e+03 -1.941374571999999944e+03 -1.810880734000000075e+03 -2.051391509999999926e+03 -1.847642875999999887e+03 -1.955410147999999936e+03 -1.976513028999999960e+03 -2.121277912999999899e+03
1.181246999999999936e+01 8.615399999999999281e+00 9.536070000000000491e+00 1.088063999999999965e+01 9.342209999999999681e+00 7.744970000000000354e+00 7.830879999999999619e+00 9.437739999999999796e+00 9.684889999999999333e+00 6.842509999999999870e+00 6.418969999999999843e+00 5.122899999999999565e+00 8.712170000000000414e+00 1.038343000000000060e+01 8.213620000000000587e+00 9.306729999999999947e+00 7.660929999999999573e+00 7.556090000000000195e+00 8.906980000000000786e+00 1.057637000000000072e+01 7.244019999999999904e+00 1.507404999999999973e+01 6.034229999999999983e+00 1.133234999999999992e+01 5.517129999999999868e+00
1.653499999999999970e+00 1.008129999999999971e+00 9.364999999999999991e-01 1.312189999999999968e+00 1.053889999999999993e+00 1.030850000000000044e+00 1.020510000000000028e+00 7.284000000000000474e-01 9.286699999999999955e-01 9.330800000000000205e-01 1.031150000000000011e+00 1.473419999999999952e+00 9.463599999999999790e-01 1.559530000000000083e+00 1.078430000000000000e+00 9.636000000000000121e-01 9.012499999999999956e-01 1.021779999999999911e+00 1.144030000000000102e+00 1.140419999999999989e+00 1.289860000000000007e+00 1.075819999999999999e+00 1.098179999999999934e+00 1.496690000000000076e+00 1.160239999999999938e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.367889999999999995e-01 1.687160000000000049e-01 2.706180000000000252e-01 2.541939999999999755e-01 2.969470000000000165e-01 2.754320000000000102e-01 2.253459999999999908e-01 2.144149999999999945e-01 2.781919999999999948e-01 3.209219999999999851e-01 2.358830000000000093e-01 2.216079999999999994e-01 2.477439999999999920e-01 2.566370000000000040e-01 2.601089999999999791e-01 2.040829999999999866e-01 2.394999999999999907e-01 2.091989999999999961e-01 2.483249999999999902e-01 2.415279999999999927e-01 2.260409999999999919e-01 2.706250000000000044e-01 1.817580000000000029e-01 3.175890000000000102e-01 2.641439999999999899e-01
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
1.981529999999999958e-01 1.832120000000000137e-01 2.019080000000000041e-01 1.796449999999999991e-01 1.745950000000000002e-01 1.678060000000000107e-01 2.094260000000000010e-01 2.099560000000000037e-01 1.098890000000000006e-01 1.530630000000000046e-01 1.897469999999999990e-01 1.213299999999999934e-01 2.979570000000000274e-01 1.762970000000000093e-01 1.509880000000000111e-01 1.818730000000000069e-01 2.447560000000000013e-01 2.346560000000000035e-01 1.550580000000000014e-01 1.812860000000000027e-01 2.683539999999999814e-01 1.536200000000000065e-01 1.940820000000000045e-01 1.211939999999999962e-01 9.709600000000000175e-02
1.568630000000000024e-01 1.360169999999999990e-01 1.797559999999999991e-01 1.952280000000000126e-01 1.394710000000000116e-01 2.124409999999999910e-01 8.224800000000000166e-02 1.276259999999999895e-01 1.766560000000000075e-01 1.434829999999999994e-01 1.682909999999999962e-01 2.583360000000000101e-01 1.957069999999999921e-01 1.496810000000000085e-01 2.237580000000000124e-01 1.934069999999999956e-01 1.240750000000000047e-01 1.620540000000000036e-01 1.575610000000000066e-01 1.106030000000000069e-01 1.134629999999999944e-01 1.256730000000000069e-01 1.657510000000000094e-01 2.337200000000000111e-01 2.739460000000000228e-01
4.963399999999999757e-02 5.995500000000000135e-02 4.093399999999999817e-02 2.166399999999999923e-02 1.362099999999999943e-02 1.940899999999999917e-02 3.761500000000000260e-02 4.588699999999999724e-02 6.621000000000000496e-02 3.069600000000000106e-02 4.615299999999999958e-02 5.670800000000000146e-02 3.909100000000000075e-02 5.180699999999999888e-02 3.054899999999999977e-02 4.400699999999999751e-02 4.553999999999999715e-02 1.987900000000000084e-02 3.784599999999999770e-02 4.708000000000000379e-03 7.145300000000000262e-02 3.205199999999999716e-02 1.893200000000000091e-02 5.528299999999999881e-02 5.458199999999999857e-02
1.717499999999999930e-02 1.329200000000000000e-02 3.941000000000000059e-02 1.937499999999999986e-02 2.456600000000000103e-02 3.332999999999999852e-02 1.985800000000000065e-02 3.251699999999999730e-02 2.638300000000000020e-02 1.982199999999999934e-02 1.115499999999999999e-02 3.153600000000000153e-02 1.783500000000000016e-02 1.605300000000000130e-02 3.270499999999999796e-02 1.776499999999999954e-02 2.399099999999999844e-02 1.665099999999999913e-02 9.905999999999999875e-03 3.013300000000000006e-02 3.849700000000000344e-02 3.061799999999999938e-02 3.999999999999999819e-06 2.950699999999999851e-02 2.691800000000000095e-02
