# geo_3.0_sim_50 geo_3.0_sim_51 geo_3.0_sim_52 geo_3.0_sim_53 geo_3.0_sim_54 geo_3.0_sim_55 geo_3.0_sim_56 geo_3.0_sim_57 geo_3.0_sim_58 geo_3.0_sim_59 geo_3.0_sim_60 geo_3.0_sim_61 geo_3.0_sim_62 geo_3.0_sim_63 geo_3.0_sim_64 geo_3.0_sim_65 geo_3.0_sim_66 geo_3.0_sim_67 geo_3.0_sim_68 geo_3.0_sim_69 geo_3.0_sim_70 geo_3.0_sim_71 geo_3.0_sim_72 geo_3.0_sim_73 geo_3.0_sim_74
-1.957134350999999924e+03 -1.881938366000000087e+03 -2.113778499999999894e+03 -2.190936521000000084e+03 -1.962817459999999983e+03 -2.038396747999999889e+03 -2.006016587999999956e+03 -2.062075401000000056e+03 -2.066805209000000104e+03 -2.008380321999999978e+03 -2.023310465000000022e+03 -1.893946494000000030e+03 -2.012982469999999921e+03 -1.986974690999999893e+03 -2.037660278999999946e+03 -1.930461250000000064e+03 -2.149462445000000116e+03 -1.912278906000000006e+03 -1.785388734000000113e+03 -1.978629560999999967e+03 -1.912285280999999941e+03 -1.905901319000000058e+03 -1.976025202000000036e+03 -1.985874054999999998e+03 -1.931948247999999921e+03
9.882720000000000837e+00 9.932859999999999800e+00 6.727179999999999715e+00 6.397789999999999644e+00 9.979390000000000427e+00 1.387379999999999924e+01 8.490019999999999456e+00 1.293294000000000032e+01 9.204340000000000188e+00 7.276690000000000325e+00 8.830389999999999517e+00 7.507259999999999600e+00 8.096529999999999561e+00 7.756170000000000009e+00 8.882329999999999615e+00 1.422283999999999970e+01 6.484340000000000437e+00 7.581929999999999836e+00 7.806219999999999715e+00 9.517200000000000770e+00 8.284259999999999735e+00 7.829449999999999577e+00 9.248469999999999303e+00 1.089568000000000048e+01 1.041568000000000005e+01
1.366610000000000102e+00 1.329550000000000010e+00 1.137729999999999908e+00 9.250800000000000134e-01 1.079900000000000082e+00 1.096729999999999983e+00 1.107080000000000064e+00 9.496799999999999686e-01 1.155149999999999899e+00 1.259929999999999994e+00 9.085999999999999632e-01 1.000909999999999966e+00 1.041930000000000023e+00 1.168530000000000069e+00 1.333650000000000002e+00 1.214560000000000084e+00 9.555700000000000305e-01 1.004709999999999992e+00 8.771700000000000053e-01 8.962999999999999856e-01 9.934199999999999697e-01 7.895199999999999996e-01 8.579099999999999504e-01 8.804300000000000459e-01 1.261209999999999942e+00
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.966999999999999971e-01 2.259289999999999909e-01 4.948429999999999773e-01 1.587850000000000095e-01 5.258159999999999501e-01 3.849139999999999784e-01 4.027569999999999761e-01 2.873330000000000051e-01 5.020280000000000298e-01 2.523739999999999872e-01 4.046270000000000144e-01 1.613900000000000057e-01 2.427989999999999871e-01 3.303659999999999930e-01 2.465660000000000074e-01 1.923429999999999862e-01 2.100569999999999937e-01 2.818330000000000002e-01 4.356970000000000010e-01 5.358340000000000325e-01 1.976199999999999901e-01 2.463539999999999897e-01 2.370680000000000009e-01 2.734440000000000204e-01 3.811450000000000116e-01
3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
3.999999999999999819e-06 1.879879999999999884e-01 3.999999999999999819e-06 1.893900000000000028e-01 3.999999999999999819e-06 3.999999999999999819e-06 6.599999999999999964e-03 2.282649999999999957e-01 3.999999999999999819e-06 1.332679999999999976e-01 2.134799999999999892e-02 1.593779999999999919e-01 1.873940000000000050e-01 1.715609999999999913e-01 1.726199999999999957e-01 1.953580000000000039e-01 3.098409999999999775e-01 2.265330000000000121e-01 3.999999999999999819e-06 1.099299999999999930e-02 1.395059999999999911e-01 1.182099999999999956e-01 1.800009999999999943e-01 2.921190000000000175e-01 3.999999999999999819e-06
3.141189999999999816e-01 1.613449999999999884e-01 4.149869999999999948e-01 1.907320000000000126e-01 3.433729999999999838e-01 3.809730000000000061e-01 3.656869999999999843e-01 1.676890000000000047e-01 3.647610000000000019e-01 2.203140000000000098e-01 3.267010000000000192e-01 1.470680000000000043e-01 1.853990000000000082e-01 1.240570000000000006e-01 2.153660000000000019e-01 1.646160000000000123e-01 1.416449999999999931e-01 1.425230000000000108e-01 3.720519999999999938e-01 3.602270000000000194e-01 1.766349999999999865e-01 2.150839999999999974e-01 2.099499999999999977e-01 1.456850000000000089e-01 3.202679999999999971e-01
6.331499999999999628e-02 2.544099999999999834e-02 4.921500000000000180e-02 2.100099999999999884e-02 5.719500000000000278e-02 3.838300000000000045e-02 7.458199999999999552e-02 1.051969999999999988e-01 7.728500000000000647e-02 4.255599999999999661e-02 4.407799999999999913e-02 1.443400000000000065e-02 4.839399999999999952e-02 7.386700000000000210e-02 2.113800000000000054e-02 2.215800000000000061e-02 2.177099999999999869e-02 5.635600000000000331e-02 5.105900000000000022e-02 5.868799999999999711e-02 4.336099999999999677e-02 2.574999999999999858e-02 1.792200000000000043e-02 1.803499999999999895e-02 5.090100000000000180e-02
2.540600000000000150e-02 1.307099999999999929e-02 1.652299999999999949e-02 2.306800000000000170e-02 4.367000000000000222e-03 6.010700000000000071e-02 3.701399999999999829e-02 2.905900000000000150e-02 2.123699999999999893e-02 4.897599999999999870e-02 3.129599999999999743e-02 4.206700000000000023e-02 3.903199999999999725e-02 1.618700000000000000e-02 5.720100000000000184e-02 2.357800000000000173e-02 4.781599999999999739e-02 1.725499999999999950e-02 6.400999999999999572e-03 3.044699999999999837e-02 3.143100000000000060e-02 7.498999999999999590e-03 3.034900000000000098e-02 2.786599999999999841e-02 1.323000000000000044e-02
